cuie	siisa	nombre_efector	sigla_tipo_efector	descripcion_tipo_efector	id_provincia	nombre_provincia	id_departamento	nombre_departamento	id_localidad	nombre_localidad	ciudad	codigo_postal	domicilio	rural	cics	sigla_tipo_categorizacion	descripcion_tipo_categorizacion	sigla_dependencia_administrativa	descripcion_dependencia_administrativa	codigo_provincial_efector	dependencia_sanitaria	integrante	compromiso_gestion	numero_compromiso	firmante_compromiso	fecha_suscripcion_compromiso	fecha_inicio_compromiso	fecha_fin_compromiso	pago_indirecto	numero_convenio	firmante_convenio	nombre_tercer_administrador	codigo_tercer_administrador	fecha_suscripcion_convenio	fecha_inicio_convenio	fecha_fin_convenio	priorizado	ppac	perinatal_ac	addenda_perinatal	fecha_addenda_perinatal	categoria_obstretico	categoria_neonatal	nombre_referente	internet	factura_descentralizada	factura_on_line	id_estado	descripcion
A00121	              	C.S. RETAMBAY	CSA	Centro de salud "A"	10	SALTA	126	Orán	070	San Ramón de la Nueva Orán (Est. Orán)	ORÁN		SAN MARTIN SIN NÚMERO	N	N	SD	Sin especificar	P	Provincial	10	ZN ORAN	S	S			2012-09-17	2012-09-17	2013-12-31	S	12313123		HOSPITAL ORÁN		2012-09-17	2012-09-17	2013-12-31	N	S							N	N	N	1	Activo
A01008	50661262173147	C.S. 200 AÑOS	CSA	Centro de salud "A"	10	SALTA	126	Orán	070	San Ramón de la Nueva Orán (Est. Orán)	ORÁN		ORÁN	N	N	SD	Sin especificar	P	Provincial	10	ZN ORÁN	S	S		OMAR IVAN SORIA	2031-12-09	2009-12-31	2013-12-31	S		JUAN CARLOS GUILLEN	"HOSPITAL ""SAN VICENTE DE PAUL"""		2007-04-01	2006-03-30	2013-12-31	N	N						DR. OMAR IVAN SORIA	N	S	S	1	Activo
A01012	50661262173157	C.S. SAN FRANCISCO - ORÁN	CSA	Centro de salud "A"	10	SALTA	126	Orán	070	San Ramón de la Nueva Orán (Est. Orán)	ORÁN		DORREGO 215 - ORAN	N	N	SD	Sin especificar	P	Provincial	10	ZN ORÁN	S	S		SILVIA PEREZ	2031-12-09	2009-12-31	2013-12-31	S		JUAN CARLOS GUILLEN	"HOSPITAL ""SAN VICENTE DE PAUL"""		2007-04-01	2006-03-30	2013-12-31	N	N						DRA. SILVIA PEREZ	N	S	S	1	Activo
A02194	50660352173132	C.S. VILLA LOS ALAMOS - CERRILLOS	CSA	Centro de salud "A"	10	SALTA	035	Cerrillos 	040	Villa Los Álamos	CERRILLOS	4403	CERRILLOS	N	N	SD	Sin especificar	P	Provincial	10	ZO CERRILLOS	S	S		DR. OSCAR M. CASTIELLA	2031-12-09	2009-12-31	2013-12-31	S		DRA. VIVIANA IBRAIN	HOSPITAL CERRILLOS		2012-12-01	2001-12-12	2013-12-31	N	N						DR. REINERO JORGE				1	Activo
A02195	50660282173192	C.S. Nº 32 VILLA SOLEDAD	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		HORACIO G. AGUIRRE	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DR. HORACIO G. AGUIRRE	S	S	S	1	Activo
A02196	50661262173496	C.S. VECINOS 16 DE ABRIL	CSA	Centro de salud "A"	10	SALTA	126	Orán	040	Hipólito Yrigoyen (Est. Tabacal)	HIPOLITO YRIGOYEN		HIPÓLITO YRIGOYEN	N	N	SD	Sin especificar	P	Provincial	10	ZN HIPÓLITO YRIGOYEN	N	N														N	N						DR. PEDRO PABLO DURAN ROZAS				1	Activo
A02197	              	C.S. DEL MILAGRO - LOTEO REYES	CSA	Centro de salud "A"	10	SALTA	133	Rivadavia	090	Santa Rosa	STA VICTORIA ESTE		LOTEO LOS REYES S/N	N	N	SD	Sin especificar	P	Provincial	10	ZN COLONIA SANTA ROSA	N	N														N	N						DR. DANIEL NESTOR LOPEZ				1	Activo
A02198	50660562173201	C.S. SAN CAYETANO - EMBARCACIÓN	CSA	Centro de salud "A"	10	SALTA	056	Grl. José de San Martín	090	Embarcación	EMBARCACIÓN	4550	EMBARCACIÓN	N	N	SD	Sin especificar	P	Provincial	10	ZN EMBARCACIÓN	S	N			1900-01-01	1900-01-01	1900-01-01	N								N	N						DR. TULIO CARPI				1	Activo
A02199	50661262173104	C.S. DR. IÑÍGUEZ	CSA	Centro de salud "A"	10	SALTA	126	Orán	060	Pichanal 	PICHANAL	4531	PICHANAL	N	N	SD	Sin especificar	P	Provincial	10	ZN PICHANAL	S	S		JUDITH TORO	2031-12-09	2009-12-31	2013-12-31	S		DRA. JUDITH TORO	HOPITAL PICHANAL		2009-12-31	2031-12-09	2013-12-31	N	N						DRA. JUDITH TORO	N	S	S	1	Activo
A03219	50660282173143	C.S. N° 15 B° CASTAÑARES NUEVO	CSA	Centro de salud "A"	10	SALTA	028	Capital	050	Salta	SALTA CAPITAL		SALTA CAPITAL	N	N	SD	Sin especificar	P	Provincial	10	PRIMER NIVEL DE ATENCIÓN	S	S		SILVIA LILIANA GARCÍA	2031-12-09	2009-12-31	2013-12-31	S		JOSÉ HUMBERTO RAMOS	COORD. OPERAT. 1º NIVEL DE ATENC		2007-04-01	2005-03-31	2013-12-31	N	N						DRA. SILVIA LILIANA GARCÍA	S	S	S	1	Activo
