efector;fechaGasto;periodo;numero_comprobante_gasto;codigogasto;efector_sesion;monto;concepto
G09264;2014-11-28;2014-11;;2.2;;900.00;
G09264;2014-11-26;2014-11;;2.2;;400.00;
G09264;2014-11-26;2014-11;;2.2;;400.00;
G09264;2014-11-26;2014-11;;2.2;;600.00;
G09264;2014-11-26;2014-11;;2.2;;800.00;
G09264;2014-11-05;2014-11;;2.2;;600.00;
G09264;2014-11-10;2014-11;;2.2;;800.00;
G09264;2014-11-03;2014-11;;2.2;;800.00;
G09264;2014-11-17;2014-11;;2.2;;600.00;
G09264;2014-11-19;2014-11;;2.2;;800.00;
G09264;2014-11-21;2014-11;;2.2;;800.00;
G09264;2014-11-26;2014-11;;2.2;;600.00;
G09264;2014-11-04;2014-11;;2.3;;1100.00;
G09264;2014-11-04;2014-11;;2.3;;500.00;
G09264;2014-11-17;2014-11;;2.3;;500.00;
G09264;2014-11-10;2014-11;;2.3;;600.00;
G09264;2014-11-03;2014-11;;2.3;;500.00;
G09264;2014-11-05;2014-11;;2.3;;800.00;
G09264;2014-11-05;2014-11;;2.3;;500.00;
G09264;2014-11-14;2014-11;;2.3;;2000.00;
G09264;2014-11-27;2014-11;;2.3;;800.00;
G09264;2014-11-26;2014-11;;2.3;;500.00;
G09264;2014-11-19;2014-11;;2.3;;700.00;
G09264;2014-11-10;2014-11;;3.2;;1500.00;
G07697;2014-11-04;2014-11;;2.3;;600.00;
G07697;2014-11-04;2014-11;;2.3;;800.00;
G07697;2014-11-05;2014-11;;2.3;;800.00;
G07697;2014-11-05;2014-11;;2.3;;800.00;
G07697;2014-11-05;2014-11;;2.3;;800.00;
G07697;2014-11-06;2014-11;;2.3;;1200.00;
G07697;2014-11-06;2014-11;;2.3;;800.00;
G07697;2014-11-14;2014-11;;2.3;;800.00;
G07697;2014-11-18;2014-11;;2.3;;1200.00;
G07697;2014-11-18;2014-11;;2.3;;600.00;
G07697;2014-11-19;2014-11;;2.3;;800.00;
G07697;2014-11-20;2014-11;;2.3;;1700.00;
G07697;2014-11-20;2014-11;;2.3;;800.00;
G07697;2014-11-05;2014-11;;3.2;;202.02;
G07697;2014-11-05;2014-11;;3.2;;350.00;
G07697;2014-11-05;2014-11;;3.2;;825.00;
G07697;2014-11-10;2014-11;;3.2;;500.00;
G07697;2014-11-12;2014-11;;3.2;;1300.00;
G07697;2014-11-18;2014-11;;3.2;;600.00;
G07697;2014-11-20;2014-11;;4.3;;720.00;
G07697;2014-11-05;2014-11;;5.3;;1000.00;
G07697;2014-11-26;2014-11;;5.3;;1000.00;
G09252;2014-11-06;2014-11;;2.1;;3000.00;
G09252;2014-11-11;2014-11;;2.1;;700.00;
G09252;2014-11-11;2014-11;;2.1;;700.00;
G09252;2014-11-06;2014-11;;2.2;;2500.00;
G09252;2014-11-11;2014-11;;2.2;;2000.00;
G09252;2014-11-06;2014-11;;2.2;;700.00;
G09252;2014-11-06;2014-11;;2.2;;1500.00;
G09252;2014-11-06;2014-11;;2.2;;1300.00;
G09252;2014-11-10;2014-11;;2.2;;1500.00;
G09252;2014-11-06;2014-11;;2.2;;650.00;
G09252;2014-11-13;2014-11;;2.2;;1500.00;
G09252;2014-11-06;2014-11;;2.2;;1300.00;
G09252;2014-11-06;2014-11;;2.2;;1400.00;
G09252;2014-11-11;2014-11;;2.2;;1500.00;
G09252;2014-11-06;2014-11;;2.3;;1000.00;
G09252;2014-11-11;2014-11;;2.3;;600.00;
G09252;2014-11-06;2014-11;;2.3;;650.00;
G09252;2014-11-06;2014-11;;2.3;;1700.00;
G09252;2014-11-06;2014-11;;2.3;;700.00;
G09252;2014-11-06;2014-11;;2.3;;700.00;
G09252;2014-11-06;2014-11;;2.3;;2700.00;
G09252;2014-11-06;2014-11;;2.3;;800.00;
G09252;2014-11-11;2014-11;;2.3;;255.00;
G09252;2014-11-11;2014-11;;2.3;;255.00;
G09252;2014-11-11;2014-11;;2.3;;255.00;
G09252;2014-11-11;2014-11;;2.3;;260.00;
G09252;2014-11-11;2014-11;;2.3;;255.00;
G09252;2014-11-11;2014-11;;2.3;;255.00;
G09252;2014-11-11;2014-11;;2.3;;255.00;
G09252;2014-11-11;2014-11;;2.3;;255.00;
G09252;2014-11-11;2014-11;;2.3;;255.00;
G09252;2014-11-11;2014-11;;2.3;;2500.00;
G09252;2014-11-11;2014-11;;2.3;;3000.00;
G09252;2014-11-14;2014-11;;2.3;;600.00;
G09252;2014-11-14;2014-11;;2.3;;650.00;
G09252;2014-11-06;2014-11;;2.3;;400.00;
G09252;2014-11-06;2014-11;;2.3;;650.00;
G09252;2014-11-06;2014-11;;2.3;;2700.00;
G09252;2014-11-13;2014-11;;3.2;;1700.00;
G09252;2014-11-03;2014-11;;3.2;;16.94;
G09252;2014-11-21;2014-11;;3.2;;580.80;
G09252;2014-11-13;2014-11;;3.2;;2000.00;
G12146;2014-11-07;2014-11;;2.1;;2000.00;
G12146;2014-11-07;2014-11;;2.1;;2000.00;
G12146;2014-11-11;2014-11;;2.3;;162.50;
G12146;2014-11-17;2014-11;;4.3;;2500.00;
G12151;2014-11-05;2014-11;;2.3;;3000.00;
G12151;2014-11-05;2014-11;;2.3;;2800.00;
